shapeid,x,y
0,-87.629347,41.852797
,,
0,-87.62934,41.852576
,,
0,-87.629325,41.851998
,,
0,-87.629311,41.851449
,,
0,-87.629303,41.851074
,,
0,-87.629299,41.850921
,,
0,-87.629287,41.850465
,,
0,-87.629284,41.850313
,,
0,-87.629278,41.850092
,,
0,-87.629275,41.849971
,,
0,-87.62927,41.849492
,,
0,-87.629267,41.84943
,,
0,-87.62926,41.84921
,,
0,-87.629251,41.848924
,,
0,-87.62925,41.848888
,,
0,-87.629231,41.84871
,,
0,-87.629223,41.848066
,,
0,-87.629222,41.84796
,,
0,-87.629223,41.847827
,,
0,-87.629212,41.847782
,,
0,-87.629444,41.847621
,,
0,-87.629384,41.847153
,,
0,-87.629373,41.847063
,,
0,-87.629384,41.846966
,,
0,-87.629407,41.846764
,,
0,-87.629355,41.846739
,,
0,-87.629201,41.846665
,,
0,-87.62915,41.846641
,,
0,-87.629164,41.846634
,,
0,-87.629182,41.84662
,,
0,-87.629193,41.846584
,,
0,-87.629191,41.846439
,,
0,-87.629188,41.846131
,,
0,-87.629175,41.845777
,,
0,-87.629168,41.845557
,,
0,-87.629324,41.845554
,,
0,-87.629787,41.845546
,,
0,-87.629792,41.845545
,,
0,-87.629911,41.845544
,,
0,-87.629949,41.845544
,,
0,-87.629991,41.845545
,,
0,-87.630348,41.845549
,,
0,-87.63066,41.845544
,,
0,-87.630927,41.845539
,,
0,-87.631084,41.845536
,,
0,-87.631568,41.845533
,,
0,-87.631633,41.845532
,,
0,-87.631656,41.845532
,,
0,-87.6318,41.84553
,,
0,-87.63183,41.845529
,,
0,-87.631896,41.845529
,,
0,-87.63213,41.845526
,,
0,-87.632368,41.845523
,,
0,-87.632461,41.845521
,,
0,-87.632832,41.845516
,,
0,-87.633067,41.845513
,,
0,-87.63331,41.845507
,,
0,-87.633637,41.8455
,,
0,-87.634042,41.845494
,,
0,-87.634287,41.845491
,,
0,-87.634351,41.84549
,,
0,-87.634543,41.845487
,,
0,-87.634607,41.845486
,,
0,-87.634609,41.845571
,,
0,-87.634611,41.845668
,,
0,-87.634619,41.845947
,,
0,-87.634626,41.846214
,,
0,-87.634631,41.846396
,,
0,-87.63502,41.846391
,,
0,-87.6357,41.846384
,,
0,-87.636186,41.846376
,,
0,-87.636216,41.846376
,,
0,-87.636576,41.846372
,,
0,-87.636605,41.846372
,,
0,-87.636677,41.846372
,,
0,-87.636694,41.846372
,,
0,-87.636724,41.846372
,,
0,-87.636768,41.846372
,,
0,-87.636879,41.846369
,,
0,-87.636928,41.846368
,,
0,-87.636976,41.846367
,,
0,-87.637019,41.846366
,,
0,-87.637115,41.846364
,,
0,-87.63787,41.846344
,,
0,-87.638037,41.846339
,,
0,-87.638248,41.846333
,,
0,-87.638362,41.84633
,,
0,-87.639308,41.84635
,,
0,-87.639808,41.846348
,,
0,-87.639943,41.846329
,,
0,-87.639981,41.846321
,,
0,-87.640304,41.846318
,,
0,-87.640454,41.846318
,,
0,-87.641276,41.846305
,,
0,-87.6416,41.846301
,,
0,-87.641593,41.84633
,,
0,-87.641573,41.846417
,,
0,-87.641567,41.846447
,,
0,-87.641556,41.846551
,,
0,-87.641556,41.846562
,,
0,-87.641527,41.846866
,,
0,-87.641518,41.846971
,,
0,-87.641516,41.847002
,,
0,-87.641513,41.847051
,,
0,-87.64151,41.847097
,,
0,-87.641508,41.847129
,,
0,-87.641515,41.84715
,,
0,-87.641538,41.847216
,,
0,-87.641546,41.847238
,,
0,-87.641596,41.847288
,,
0,-87.641722,41.847412
,,
0,-87.64194,41.847628
,,
0,-87.642057,41.847757
,,
0,-87.642087,41.84779
,,
0,-87.642105,41.847805
,,
0,-87.642164,41.847854
,,
0,-87.642248,41.847936
,,
0,-87.642426,41.84811
,,
0,-87.64259,41.848185
,,
0,-87.642684,41.848228
,,
0,-87.643073,41.848436
,,
0,-87.643233,41.848522
,,
0,-87.643252,41.84854
,,
0,-87.64331,41.848594
,,
0,-87.64333,41.848613
,,
0,-87.643391,41.848671
,,
0,-87.643439,41.848716
,,
0,-87.643512,41.848803
,,
0,-87.643558,41.848861
,,
0,-87.643611,41.848928
,,
0,-87.643677,41.84901
,,
0,-87.643773,41.849149
,,
0,-87.643818,41.849227
,,
0,-87.643888,41.849349
,,
0,-87.643958,41.849471
,,
0,-87.643249,41.849588
,,
0,-87.642707,41.849905
,,
0,-87.642508,41.850021
,,
0,-87.642206,41.85041
,,
0,-87.641602,41.851192
,,
0,-87.640889,41.852133
,,
0,-87.64066,41.852437
,,
0,-87.640461,41.852715
,,
0,-87.640151,41.853146
,,
0,-87.639778,41.853667
,,
0,-87.639639,41.853801
,,
0,-87.639164,41.854367
,,
0,-87.639147,41.854375
,,
0,-87.638685,41.854635
,,
0,-87.638324,41.854836
,,
0,-87.638196,41.854909
,,
0,-87.63745,41.855142
,,
0,-87.637208,41.855337
,,
0,-87.636888,41.855598
,,
0,-87.636443,41.855958
,,
0,-87.63635,41.856034
,,
0,-87.636139,41.856172
,,
0,-87.63562,41.856668
,,
0,-87.635328,41.857222
,,
0,-87.63529,41.857295
,,
0,-87.635157,41.857685
,,
0,-87.635131,41.857759
,,
0,-87.635104,41.857758
,,
0,-87.635023,41.857758
,,
0,-87.634996,41.857758
,,
0,-87.634862,41.857757
,,
0,-87.634749,41.857756
,,
0,-87.634372,41.857753
,,
0,-87.634008,41.857757
,,
0,-87.633762,41.857761
,,
0,-87.633751,41.857761
,,
0,-87.63372,41.857761
,,
0,-87.63371,41.857762
,,
0,-87.633537,41.857764
,,
0,-87.633023,41.85777
,,
0,-87.633019,41.85777
,,
0,-87.632847,41.857773
,,
0,-87.632657,41.857775
,,
0,-87.632111,41.857783
,,
0,-87.632089,41.857782
,,
0,-87.6319,41.857775
,,
0,-87.631673,41.857766
,,
0,-87.631482,41.857759
,,
0,-87.631404,41.857757
,,
0,-87.631363,41.857758
,,
0,-87.630993,41.857763
,,
0,-87.630923,41.857765
,,
0,-87.630799,41.857767
,,
0,-87.630767,41.857768
,,
0,-87.630674,41.85777
,,
0,-87.630658,41.85777
,,
0,-87.630334,41.857776
,,
0,-87.630226,41.857779
,,
0,-87.630225,41.857751
,,
0,-87.630224,41.857695
,,
0,-87.630224,41.857676
,,
0,-87.630223,41.85767
,,
0,-87.630223,41.857643
,,
0,-87.630223,41.857617
,,
0,-87.630221,41.857561
,,
0,-87.630217,41.857431
,,
0,-87.630202,41.856797
,,
0,-87.630197,41.856586
,,
0,-87.630178,41.855913
,,
0,-87.630158,41.85541
,,
0,-87.630158,41.855122
,,
0,-87.630149,41.854731
,,
0,-87.630133,41.854202
,,
0,-87.630131,41.854118
,,
0,-87.63013,41.85411
,,
0,-87.630129,41.854086
,,
0,-87.630129,41.854078
,,
0,-87.630127,41.854018
,,
0,-87.630122,41.85384
,,
0,-87.630121,41.853781
,,
0,-87.630116,41.853612
,,
0,-87.630113,41.853508
,,
0,-87.630104,41.853299
,,
0,-87.630084,41.853108
,,
0,-87.630068,41.852941
,,
0,-87.629924,41.852941
,,
0,-87.629603,41.852944
,,
0,-87.629495,41.852947
,,
0,-87.629352,41.852952
,,
0,-87.629347,41.852797
,,
1,-87.688135,41.855691
,,
1,-87.688158,41.856495
,,
1,-87.688171,41.856915
,,
1,-87.688171,41.857039
,,
1,-87.688171,41.857411
,,
1,-87.688171,41.857536
,,
1,-87.688171,41.85766
,,
1,-87.688172,41.858033
,,
1,-87.688173,41.858158
,,
1,-87.688181,41.858393
,,
1,-87.688208,41.859101
,,
1,-87.688217,41.859337
,,
1,-87.688073,41.859338
,,
1,-87.687904,41.859339
,,
1,-87.68774,41.85934
,,
1,-87.687421,41.859342
,,
1,-87.68631,41.859358
,,
1,-87.685834,41.859366
,,
1,-87.685101,41.859245
,,
1,-87.682902,41.858883
,,
1,-87.68217,41.858763
,,
1,-87.681993,41.85876
,,
1,-87.681462,41.858754
,,
1,-87.681286,41.858752
,,
1,-87.680726,41.85879
,,
1,-87.67905,41.858904
,,
1,-87.678491,41.858942
,,
1,-87.678481,41.858895
,,
1,-87.678454,41.858754
,,
1,-87.678445,41.858708
,,
1,-87.678442,41.858666
,,
1,-87.678433,41.858542
,,
1,-87.678431,41.858501
,,
1,-87.678455,41.858484
,,
1,-87.678469,41.858464
,,
1,-87.678465,41.858341
,,
1,-87.678457,41.858086
,,
1,-87.678452,41.85786
,,
1,-87.67845,41.85781
,,
1,-87.678446,41.857634
,,
1,-87.678441,41.857451
,,
1,-87.67844,41.857405
,,
1,-87.678434,41.857176
,,
1,-87.678426,41.856949
,,
1,-87.678424,41.856904
,,
1,-87.678417,41.856722
,,
1,-87.67841,41.856603
,,
1,-87.678408,41.856538
,,
1,-87.678404,41.856263
,,
1,-87.678398,41.856034
,,
1,-87.678397,41.855989
,,
1,-87.678393,41.855806
,,
1,-87.678389,41.855623
,,
1,-87.678388,41.855574
,,
1,-87.678382,41.855343
,,
1,-87.678376,41.855118
,,
1,-87.678374,41.855075
,,
1,-87.678369,41.854893
,,
1,-87.678366,41.854821
,,
1,-87.678359,41.854605
,,
1,-87.678357,41.854534
,,
1,-87.678356,41.854506
,,
1,-87.678355,41.85444
,,
1,-87.678354,41.854422
,,
1,-87.67835,41.854208
,,
1,-87.678346,41.854088
,,
1,-87.678344,41.853977
,,
1,-87.678339,41.853793
,,
1,-87.678338,41.853748
,,
1,-87.678332,41.85352
,,
1,-87.678325,41.85329
,,
1,-87.678323,41.853243
,,
1,-87.678318,41.85306
,,
1,-87.678312,41.852875
,,
1,-87.678311,41.852828
,,
1,-87.678303,41.852596
,,
1,-87.678298,41.852366
,,
1,-87.678297,41.852321
,,
1,-87.678293,41.852137
,,
1,-87.678783,41.852129
,,
1,-87.680252,41.852106
,,
1,-87.680743,41.852099
,,
1,-87.680988,41.852095
,,
1,-87.681724,41.852084
,,
1,-87.68197,41.852081
,,
1,-87.682213,41.852077
,,
1,-87.682944,41.852065
,,
1,-87.683188,41.852062
,,
1,-87.683678,41.852053
,,
1,-87.68377,41.852052
,,
1,-87.684352,41.852043
,,
1,-87.685034,41.852034
,,
1,-87.685149,41.852033
,,
1,-87.68564,41.852032
,,
1,-87.685947,41.85203
,,
1,-87.686102,41.852029
,,
1,-87.686254,41.852029
,,
1,-87.687489,41.852013
,,
1,-87.687709,41.852011
,,
1,-87.687875,41.852009
,,
1,-87.687952,41.852009
,,
1,-87.687953,41.852032
,,
1,-87.688053,41.852832
,,
1,-87.687981,41.852921
,,
1,-87.688027,41.853857
,,
1,-87.688032,41.853971
,,
1,-87.68805,41.854316
,,
1,-87.688056,41.854431
,,
1,-87.688059,41.854474
,,
1,-87.688069,41.854605
,,
1,-87.688073,41.854649
,,
1,-87.688076,41.854682
,,
1,-87.688085,41.854785
,,
1,-87.688088,41.854819
,,
1,-87.688112,41.855162
,,
1,-87.688115,41.855237
,,
1,-87.688135,41.855691
,,
2,-87.66782,41.874184
,,
2,-87.667683,41.874195
,,
2,-87.667273,41.874228
,,
2,-87.66687,41.874248
