GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,DP0010001,DP0020001,DP0020002,DP0020003,DP0080001,DP0080002,DP0080003,DP0080004,DP0080005,DP0080006,DP0080007,DP0080008,DP0080009,DP0080010,DP0080011,DP0080012,DP0080013,DP0080014,DP0080015,DP0080016,DP0080017,DP0080018,DP0080019,DP0080020,DP0080021,DP0080022,DP0080023,DP0080024,DP0120015,DP0120016,DP0120017,DP0120018,DP0120019,DP0120020,DP0160001
17031841100,Census Tract 8411,1143247.0,0.0,+41.8510058,-087.6350978,7254,42.4,40.7,44.1,7254,7165,401,260,0,6447,37,6227,62,2,16,17,86,2,0,1,1,0,55,89,2,41,13,0,0,0,0,2,2,0,2.77
17031841200,Census Tract 8412,625405.0,0.0,+41.8555618,-087.6833420,5262,28.2,27.9,28.5,5262,5079,2340,242,83,17,1,2,8,1,4,0,1,7,0,4,1,2,2390,183,28,0,12,103,0,0,0,1,1,0,3.21
17031838200,Census Tract 8382,1157564.0,0.0,+41.8704157,-087.6750794,1578,24.4,24.5,24.2,1578,1489,729,219,8,405,153,140,22,5,51,14,20,1,1,0,0,0,127,89,5,25,18,15,0,0,0,555,250,305,2.32
17031760803,Census Tract 7608.03,760355.0,0.0,+41.9753463,-087.8441545,6236,34.7,34.4,34.9,6236,6090,5323,169,15,384,143,10,94,5,11,0,121,0,0,0,0,0,199,146,9,52,19,20,0,0,0,4,2,2,2.26
17031839000,Census Tract 8390,516458.0,0.0,+41.8710442,-087.6314045,7311,31.0,30.7,31.2,7311,7081,4989,905,10,1052,376,318,123,34,90,15,96,6,5,0,0,1,119,230,14,96,51,17,0,0,0,296,144,152,1.67
17031833300,Census Tract 8333,477825.0,0.0,+41.8716913,-087.6541251,2278,25.9,26.0,25.9,2278,2219,1362,124,4,660,189,284,81,3,36,13,54,0,0,0,0,0,69,59,4,14,10,15,0,0,0,1,0,1,2.37
17031832900,Census Tract 8329,401291.0,0.0,+41.8741753,-087.6618908,2212,26.4,26.5,26.3,2212,2164,1471,100,4,549,236,154,51,5,38,11,54,2,1,0,0,1,38,48,2,28,5,5,0,0,0,4,4,0,2.01
17031838000,Census Tract 8380,537835.0,0.0,+41.8773642,-087.6806502,2561,34.7,33.1,36.8,2561,2488,454,1830,12,110,43,28,21,0,9,0,9,3,0,3,0,0,79,73,3,6,11,9,0,0,0,0,0,0,2.02
17031838100,Census Tract 8381,822113.0,0.0,+41.8786651,-087.6716805,1713,38.5,40.4,36.3,1713,1678,412,850,5,377,205,51,42,2,15,2,60,4,3,0,1,0,30,35,2,1,11,2,0,0,0,20,2,18,1.59
17031833100,Census Tract 8331,922169.0,0.0,+41.8790768,-087.6570454,6895,32.9,33.7,32.1,6895,6727,4751,1121,10,730,302,127,105,17,93,4,82,5,2,0,0,3,110,168,15,57,29,15,391,326,65,196,181,15,1.72
